Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Michigan St Spartans,Purdue Boilermakers,BetRivers,spreads,Purdue Boilermakers,1.87
Stetson Hatters,North Florida Ospreys,FanDuel,h2h,North Florida Ospreys,1.38
Stetson Hatters,North Florida Ospreys,FanDuel,h2h,Stetson Hatters,2.96
Stetson Hatters,North Florida Ospreys,FanDuel,spreads,North Florida Ospreys,1.88
Stetson Hatters,North Florida Ospreys,FanDuel,spreads,Stetson Hatters,1.87
Stetson Hatters,North Florida Ospreys,DraftKings,h2h,North Florida Ospreys,1.36
Stetson Hatters,North Florida Ospreys,DraftKings,h2h,Stetson Hatters,3.1
Stetson Hatters,North Florida Ospreys,DraftKings,spreads,North Florida Ospreys,1.91
Stetson Hatters,North Florida Ospreys,DraftKings,spreads,Stetson Hatters,1.83
Stetson Hatters,North Florida Ospreys,BetRivers,h2h,North Florida Ospreys,1.35
Stetson Hatters,North Florida Ospreys,BetRivers,h2h,Stetson Hatters,2.85
Stetson Hatters,North Florida Ospreys,BetRivers,spreads,North Florida Ospreys,1.83
Stetson Hatters,North Florida Ospreys,BetRivers,spreads,Stetson Hatters,1.79
Stetson Hatters,North Florida Ospreys,BetMGM,h2h,North Florida Ospreys,1.34
Stetson Hatters,North Florida Ospreys,BetMGM,h2h,Stetson Hatters,3.2
Stetson Hatters,North Florida Ospreys,BetMGM,spreads,North Florida Ospreys,1.95
Stetson Hatters,North Florida Ospreys,BetMGM,spreads,Stetson Hatters,1.8
Stetson Hatters,North Florida Ospreys,Bovada,h2h,North Florida Ospreys,1.44
Stetson Hatters,North Florida Ospreys,Bovada,h2h,Stetson Hatters,2.7
Stetson Hatters,North Florida Ospreys,Bovada,spreads,North Florida Ospreys,1.83
Stetson Hatters,North Florida Ospreys,Bovada,spreads,Stetson Hatters,1.91
Akron Zips,Northern Illinois Huskies,FanDuel,h2h,Akron Zips,1.0
Akron Zips,Northern Illinois Huskies,FanDuel,h2h,Northern Illinois Huskies,36.0
Akron Zips,Northern Illinois Huskies,FanDuel,spreads,Akron Zips,1.88
Akron Zips,Northern Illinois Huskies,FanDuel,spreads,Northern Illinois Huskies,1.88
Akron Zips,Northern Illinois Huskies,DraftKings,spreads,Akron Zips,1.83
Akron Zips,Northern Illinois Huskies,DraftKings,spreads,Northern Illinois Huskies,1.91
Akron Zips,Northern Illinois Huskies,BetMGM,h2h,Akron Zips,1.01
Akron Zips,Northern Illinois Huskies,BetMGM,h2h,Northern Illinois Huskies,29.0
Akron Zips,Northern Illinois Huskies,Bovada,spreads,Akron Zips,1.91
Akron Zips,Northern Illinois Huskies,Bovada,spreads,Northern Illinois Huskies,1.83
Akron Zips,Northern Illinois Huskies,BetRivers,spreads,Akron Zips,1.8
Akron Zips,Northern Illinois Huskies,BetRivers,spreads,Northern Illinois Huskies,1.83
Ohio Bobcats,Central Michigan Chippewas,FanDuel,h2h,Central Michigan Chippewas,2.34
Ohio Bobcats,Central Michigan Chippewas,FanDuel,h2h,Ohio Bobcats,1.58
Ohio Bobcats,Central Michigan Chippewas,FanDuel,spreads,Central Michigan Chippewas,1.85
Ohio Bobcats,Central Michigan Chippewas,FanDuel,spreads,Ohio Bobcats,1.91
Ohio Bobcats,Central Michigan Chippewas,DraftKings,h2h,Central Michigan Chippewas,2.35
Ohio Bobcats,Central Michigan Chippewas,DraftKings,h2h,Ohio Bobcats,1.57
Ohio Bobcats,Central Michigan Chippewas,DraftKings,spreads,Central Michigan Chippewas,1.91
Ohio Bobcats,Central Michigan Chippewas,DraftKings,spreads,Ohio Bobcats,1.83
Ohio Bobcats,Central Michigan Chippewas,BetMGM,h2h,Central Michigan Chippewas,2.4
Ohio Bobcats,Central Michigan Chippewas,BetMGM,h2h,Ohio Bobcats,1.56
Ohio Bobcats,Central Michigan Chippewas,BetMGM,spreads,Central Michigan Chippewas,1.8
Ohio Bobcats,Central Michigan Chippewas,BetMGM,spreads,Ohio Bobcats,1.95
Ohio Bobcats,Central Michigan Chippewas,Bovada,h2h,Central Michigan Chippewas,2.3
Ohio Bobcats,Central Michigan Chippewas,Bovada,h2h,Ohio Bobcats,1.59
